** CONVERTED FROM C:\Users_Folder\Alper\TMTab-main\TMTab-main\AgentnEnv\alpe29.EDF using edfapi 4.2.1 Win32  EyeLink Dataviewer Sub ComponentApr 12 2021 on Fri Aug 28 13:37:14 2026
** DATE: Fri Aug 28 15:34:35 2026
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v5.15 Jan 24 2018
** CAMERA: Eyelink GL Version 1.2 Sensor=AF7
** SERIAL NUMBER: CLG-BBD20
** CAMERA_CONFIG: BBD20200.SCD
**

MSG	12071132 RECCFG CR 500 2 0 R
MSG	12071132 ELCLCFG RTABLER
MSG	12071132 GAZE_COORDS 0.00 0.00 1920.00 1080.00
MSG	12071132 THRESHOLDS R 108 200
MSG	12071132 ELCL_WINDOW_SIZES 176 176 208 208
MSG	12071132 CAMERA_LENS_FOCAL_LENGTH 17.00 
MSG	12071132 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	12071132 ELCL_PROC ELLIPSE  (5)
MSG	12071132 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	12071133 !MODE RECORD CR 500 2 0 R
START	12071134 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
12071280	  742.5	  452.2	  737.0	32768.0	...
12071282	  739.2	  453.2	  738.0	32768.0	...
12071284	  737.8	  454.0	  739.0	32768.0	...
12071286	  736.7	  454.0	  740.0	32768.0	...
12071288	  736.1	  453.2	  741.0	32768.0	...
ESACC R  12071226	12071288	64	 1639.8	   91.6	  736.1	  453.2	  21.98	    787
SFIX R   12071290
12071290	  735.6	  452.4	  741.0	32768.0	...
12071292	  735.3	  451.6	  742.0	32768.0	...
12071294	  735.5	  450.4	  742.0	32768.0	...
12071296	  735.8	  449.3	  743.0	32768.0	...
12071298	  736.0	  448.4	  743.0	32768.0	...
12071300	  736.4	  447.6	  744.0	32768.0	...
12071302	  736.8	  447.5	  744.0	32768.0	...
12071304	  737.2	  447.0	  745.0	32768.0	...
12071306	  737.6	  446.3	  745.0	32768.0	...
12071308	  737.9	  445.6	  745.0	32768.0	...
12071310	  738.1	  444.5	  745.0	32768.0	...
12071312	  738.2	  443.5	  745.0	32768.0	...
12071314	  738.1	  442.5	  744.0	32768.0	...
12071316	  737.9	  441.7	  744.0	32768.0	...
12071318	  737.2	  441.5	  743.0	32768.0	...
12071320	  736.6	  441.5	  743.0	32768.0	...
12071322	  736.0	  441.5	  742.0	32768.0	...
12071324	  735.5	  441.6	  742.0	32768.0	...
12071326	  735.2	  441.6	  742.0	32768.0	...
12071328	  735.2	  441.1	  742.0	32768.0	...
12071330	  735.3	  440.4	  742.0	32768.0	...
12071332	  735.6	  439.3	  742.0	32768.0	...
12071334	  736.0	  438.5	  742.0	32768.0	...
